,actions,expansions,goal_tests,hstring,new_nodes,plan_length,pname,sname,solution,time_elapsed
0,20,43,56,,178,6,Air Cargo Problem 1,breadth_first_search,"[<aimacode.planning.Action object at 0x1a16180d30>, <aimacode.planning.Action object at 0x1a16180e10>, <aimacode.planning.Action object at 0x1a15fe2978>, <aimacode.planning.Action object at 0x1a15fe2b00>, <aimacode.planning.Action object at 0x1a15fe2f98>, <aimacode.planning.Action object at 0x1a16180630>]",0.009305867000875878
1,20,21,22,,84,20,Air Cargo Problem 1,depth_first_graph_search,"[<aimacode.planning.Action object at 0x1a164107b8>, <aimacode.planning.Action object at 0x1a16410470>, <aimacode.planning.Action object at 0x1a16410b38>, <aimacode.planning.Action object at 0x1a16410e80>, <aimacode.planning.Action object at 0x1a16410940>, <aimacode.planning.Action object at 0x1a16410358>, <aimacode.planning.Action object at 0x1a164107b8>, <aimacode.planning.Action object at 0x1a16410470>, <aimacode.planning.Action object at 0x1a164102b0>, <aimacode.planning.Action object at 0x1a16410e80>, <aimacode.planning.Action object at 0x1a16410ef0>, <aimacode.planning.Action object at 0x1a16410940>, <aimacode.planning.Action object at 0x1a164107b8>, <aimacode.planning.Action object at 0x1a16410710>, <aimacode.planning.Action object at 0x1a164100f0>, <aimacode.planning.Action object at 0x1a16410470>, <aimacode.planning.Action object at 0x1a16410b38>, <aimacode.planning.Action object at 0x1a16410e80>, <aimacode.planning.Action object at 0x1a16410940>, <aimacode.planning.Action object at 0x1a16410358>]",0.004926841998894815
2,72,3343,4609,,30503,9,Air Cargo Problem 2,breadth_first_search,"[<aimacode.planning.Action object at 0x1a16180518>, <aimacode.planning.Action object at 0x1a16410828>, <aimacode.planning.Action object at 0x1a16410f28>, <aimacode.planning.Action object at 0x1a188e4400>, <aimacode.planning.Action object at 0x1a188e4278>, <aimacode.planning.Action object at 0x1a163e6b70>, <aimacode.planning.Action object at 0x1a164104e0>, <aimacode.planning.Action object at 0x1a160ac7b8>, <aimacode.planning.Action object at 0x1a188e4dd8>]",2.5348508639999636
